"","vernacularName","scientificName","OccurenceID","individualCount","app_used","lat","lon","occurenceStatus","date","month","year"
"1","Fin Whale","Balaenoptera physalus","50518",5,"spotter_pro",34.109298,-119.545389,"Certain",2018-01-02,1,2018
"2","Minke Whale","Balaenoptera acutorostrata","50516",1,"spotter_pro",34.10968,-119.548663,"Certain",2018-01-02,1,2018
"3","Gray Whale","Eschrichtius robustus","50466",2,"spotter_pro",33.973575,-119.384495,"Certain",2018-01-02,1,2018
"4","Gray Whale","Eschrichtius robustus","50465",3,"spotter_pro",34.06821,-119.567414,"Certain",2018-01-03,1,2018
"5","Gray Whale","Eschrichtius robustus","50476",5,"spotter_pro",34.080773,-119.890908,"Certain",2018-01-03,1,2018
"6","Blue Whale","Balaenoptera musculus","50475",1,"spotter_pro",34.113507,-119.829803,"Certain",2018-01-03,1,2018
"7","Gray Whale","Eschrichtius robustus","51485",1,"spotter_pro",34.0991,-119.330998,"Certain",2018-01-03,1,2018
"8","Gray Whale","Eschrichtius robustus","51489",2,"spotter_pro",34.003686,-119.453514,"Certain",2018-01-03,1,2018
"9","Gray Whale","Eschrichtius robustus","51488",2,"spotter_pro",34.005415,-119.452614,"Certain",2018-01-03,1,2018
"10","Fin Whale","Balaenoptera physalus","51490",3,"spotter_pro",34.093397,-119.505996,"Certain",2018-01-04,1,2018
"11","Fin Whale","Balaenoptera physalus","51486",3,"spotter_pro",34.100214,-119.528963,"Certain",2018-01-04,1,2018
"12","Fin Whale","Balaenoptera physalus","51491",2,"spotter_pro",34.096739,-119.542186,"Certain",2018-01-04,1,2018
"13","Fin Whale","Balaenoptera physalus","51487",3,"spotter_pro",34.095,-119.549862,"Certain",2018-01-04,1,2018
"14","Gray Whale","Eschrichtius robustus","50488",1,"spotter_pro",34.094087,-120.01533,"Certain",2018-01-04,1,2018
"15","Gray Whale","Eschrichtius robustus","50514",1,"spotter_pro",34.121347,-119.317009,"Certain",2018-01-05,1,2018
"16","Gray Whale","Eschrichtius robustus","50515",1,"spotter_pro",34.033868,-119.510877,"Certain",2018-01-05,1,2018
"17","Fin Whale","Balaenoptera physalus","50506",1,"spotter_pro",34.161574,-119.826312,"Certain",2018-01-05,1,2018
"18","Fin Whale","Balaenoptera physalus","50502",5,"spotter_pro",34.141884,-119.820232,"Certain",2018-01-05,1,2018
"19","Gray Whale","Eschrichtius robustus","50511",5,"spotter_pro",34.050894,-119.524165,"Certain",2018-01-05,1,2018
"20","Fin Whale","Balaenoptera physalus","50530",4,"spotter_pro",34.226969,-119.722014,"Certain",2018-01-06,1,2018
"21","Gray Whale","Eschrichtius robustus","50544",1,"spotter_pro",34.057813,-119.532591,"Certain",2018-01-07,1,2018
"22","Gray Whale","Eschrichtius robustus","50545",3,"spotter_pro",34.044001,-119.509789,"Certain",2018-01-07,1,2018
"23","Gray Whale","Eschrichtius robustus","50547",2,"spotter_pro",34.012457,-119.45701,"Certain",2018-01-07,1,2018
"24","Gray Whale","Eschrichtius robustus","50725",1,"spotter_pro",34.215226,-119.796952,"Certain",2018-01-27,1,2018
"25","Gray Whale","Eschrichtius robustus","50724",2,"spotter_pro",34.080641,-119.874345,"Certain",2018-01-27,1,2018
