OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean,PK_UID,featurecla,scalerank,min_zoom,geom:1,in_channel
265,2013-08-10 16:23:51+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.314259,-119.555383,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.555383 34.314259),,1,1,Ocean,0,0,,1
266,2013-08-10 17:32:02+00:00,Megaptera novaeangliae,Humpback Whale,1,34.285078,-119.377377,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.377377 34.285078),,1,1,Ocean,0,0,,1
263,2013-08-10 17:51:08+00:00,Megaptera novaeangliae,Humpback Whale,1,34.303717,-119.387927,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.387927 34.303717),,1,1,Ocean,0,0,,1
264,2013-08-10 19:02:50+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.206734,-119.389583,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.389583 34.206734),,1,1,Ocean,0,0,,1
262,2013-08-10 22:08:32+00:00,Megaptera novaeangliae,Humpback Whale,1,34.277518,-119.378791,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.378791 34.277518),,1,1,Ocean,0,0,,1
308,2013-08-16 17:20:45+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.165919,-119.423111,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.423111 34.165919),,1,1,Ocean,0,0,,1
314,2013-08-16 17:38:41+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.132231,-119.487612,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.487612 34.132231),,1,1,Ocean,0,0,,1
312,2013-08-16 17:50:54+00:00,Grampus griseus,Risso's Dolphin,2,34.113107,-119.518974,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-119.518974 34.113107),,1,1,Ocean,0,0,,1
310,2013-08-16 17:56:43+00:00,Delphinus capensis,Common Long-Beaked Dolphin,200,34.114068,-119.524587,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.524587 34.114068),,1,1,Ocean,0,0,,1
307,2013-08-16 19:43:53+00:00,Grampus griseus,Risso's Dolphin,15,34.0936,-119.893876,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-119.893876 34.0936),,1,1,Ocean,0,0,,1
311,2013-08-16 21:12:13+00:00,Mirounga angustirostris,Northern Elephant Seal,12,34.070438,-120.361302,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:255018,POINT (-120.361302 34.070438),,1,1,Ocean,0,0,,1
309,2013-08-16 23:49:36+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.305831,-119.513237,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.513237 34.305831),,1,1,Ocean,0,0,,1
