"","vernacularName","scientificName","OccurenceID","individualCount","lat","lon","occurenceStatus","date","month","year"
"1","Gray Whale","Eschrichtius robustus",50466,2,33.973575,-119.384495,"Certain",2018-01-02,1,2018
"2","Gray Whale","Eschrichtius robustus",50465,3,34.06821,-119.567414,"Certain",2018-01-03,1,2018
"3","Gray Whale","Eschrichtius robustus",50476,5,34.080773,-119.890908,"Certain",2018-01-03,1,2018
"4","Blue Whale","Balaenoptera musculus",50475,1,34.113507,-119.829803,"Certain",2018-01-03,1,2018
"5","Gray Whale","Eschrichtius robustus",51485,1,34.0991,-119.330998,"Certain",2018-01-03,1,2018
"6","Gray Whale","Eschrichtius robustus",51489,2,34.003686,-119.453514,"Certain",2018-01-03,1,2018
"7","Gray Whale","Eschrichtius robustus",51488,2,34.005415,-119.452614,"Certain",2018-01-03,1,2018
"8","Gray Whale","Eschrichtius robustus",50488,1,34.094087,-120.01533,"Certain",2018-01-04,1,2018
"9","Gray Whale","Eschrichtius robustus",50514,1,34.121347,-119.317009,"Certain",2018-01-05,1,2018
"10","Gray Whale","Eschrichtius robustus",50515,1,34.033868,-119.510877,"Certain",2018-01-05,1,2018
"11","Gray Whale","Eschrichtius robustus",50511,5,34.050894,-119.524165,"Certain",2018-01-05,1,2018
"12","Gray Whale","Eschrichtius robustus",50544,1,34.057813,-119.532591,"Certain",2018-01-07,1,2018
"13","Gray Whale","Eschrichtius robustus",50545,3,34.044001,-119.509789,"Certain",2018-01-07,1,2018
"14","Gray Whale","Eschrichtius robustus",50547,2,34.012457,-119.45701,"Certain",2018-01-07,1,2018
"15","Gray Whale","Eschrichtius robustus",50725,1,34.215226,-119.796952,"Certain",2018-01-27,1,2018
"16","Gray Whale","Eschrichtius robustus",50724,2,34.080641,-119.874345,"Certain",2018-01-27,1,2018
"17","Gray Whale","Eschrichtius robustus",50759,1,34.189214,-119.40814,"Certain",2018-01-28,1,2018
"18","Gray Whale","Eschrichtius robustus",50760,4,34.05104,-119.541577,"Certain",2018-01-28,1,2018
"19","Gray Whale","Eschrichtius robustus",50761,2,34.067493,-119.479584,"Uncertain",2018-01-28,1,2018
"20","Gray Whale","Eschrichtius robustus",50780,1,34.175578,-119.29238,"Certain",2018-01-28,1,2018
"21","Gray Whale","Eschrichtius robustus",50778,1,34.149799,-119.316385,"Certain",2018-01-28,1,2018
"22","Gray Whale","Eschrichtius robustus",50779,3,34.134649,-119.44239,"Certain",2018-01-28,1,2018
"23","Gray Whale","Eschrichtius robustus",50851,4,34.082804,-119.885483,"Certain",2018-02-01,2,2018
"24","Gray Whale","Eschrichtius robustus",50914,1,34.02486,-119.338702,"Certain",2018-02-04,2,2018
"25","Gray Whale","Eschrichtius robustus",50907,1,34.194633,-119.25708,"Certain",2018-02-04,2,2018
"26","Gray Whale","Eschrichtius robustus",50909,4,33.991278,-119.392831,"Certain",2018-02-04,2,2018
"27","Gray Whale","Eschrichtius robustus",50945,3,34.05436,-119.528711,"Certain",2018-02-07,2,2018
"28","Gray Whale","Eschrichtius robustus",51241,1,34.379008,-119.690768,"Certain",2018-02-07,2,2018
"29","Gray Whale","Eschrichtius robustus",51240,3,34.081706,-119.937463,"Certain",2018-02-07,2,2018
"30","Gray Whale","Eschrichtius robustus",50940,1,33.999241,-119.449151,"Certain",2018-02-07,2,2018
"31","Gray Whale","Eschrichtius robustus",50942,4,34.001736,-119.498155,"Certain",2018-02-07,2,2018
