"","OccurenceID","scientificName","vernacularName","individualCount","lat","lon","occurenceStatus","date","month","year"
"1",50466,"Eschrichtius robustus","Gray Whale",2,33.973575,-119.384495,"Certain",2018-01-02,1,2018
"2",50465,"Eschrichtius robustus","Gray Whale",3,34.06821,-119.567414,"Certain",2018-01-03,1,2018
"3",50476,"Eschrichtius robustus","Gray Whale",5,34.080773,-119.890908,"Certain",2018-01-03,1,2018
"4",50475,"Balaenoptera musculus","Blue Whale",1,34.113507,-119.829803,"Certain",2018-01-03,1,2018
"5",51485,"Eschrichtius robustus","Gray Whale",1,34.0991,-119.330998,"Certain",2018-01-03,1,2018
"6",51489,"Eschrichtius robustus","Gray Whale",2,34.003686,-119.453514,"Certain",2018-01-03,1,2018
"7",51488,"Eschrichtius robustus","Gray Whale",2,34.005415,-119.452614,"Certain",2018-01-03,1,2018
"8",50488,"Eschrichtius robustus","Gray Whale",1,34.094087,-120.01533,"Certain",2018-01-04,1,2018
"9",50514,"Eschrichtius robustus","Gray Whale",1,34.121347,-119.317009,"Certain",2018-01-05,1,2018
"10",50515,"Eschrichtius robustus","Gray Whale",1,34.033868,-119.510877,"Certain",2018-01-05,1,2018
"11",50511,"Eschrichtius robustus","Gray Whale",5,34.050894,-119.524165,"Certain",2018-01-05,1,2018
"12",50544,"Eschrichtius robustus","Gray Whale",1,34.057813,-119.532591,"Certain",2018-01-07,1,2018
"13",50545,"Eschrichtius robustus","Gray Whale",3,34.044001,-119.509789,"Certain",2018-01-07,1,2018
"14",50547,"Eschrichtius robustus","Gray Whale",2,34.012457,-119.45701,"Certain",2018-01-07,1,2018
"15",50725,"Eschrichtius robustus","Gray Whale",1,34.215226,-119.796952,"Certain",2018-01-27,1,2018
"16",50724,"Eschrichtius robustus","Gray Whale",2,34.080641,-119.874345,"Certain",2018-01-27,1,2018
"17",50759,"Eschrichtius robustus","Gray Whale",1,34.189214,-119.40814,"Certain",2018-01-28,1,2018
"18",50760,"Eschrichtius robustus","Gray Whale",4,34.05104,-119.541577,"Certain",2018-01-28,1,2018
"19",50761,"Eschrichtius robustus","Gray Whale",2,34.067493,-119.479584,"Uncertain",2018-01-28,1,2018
"20",50780,"Eschrichtius robustus","Gray Whale",1,34.175578,-119.29238,"Certain",2018-01-28,1,2018
"21",50778,"Eschrichtius robustus","Gray Whale",1,34.149799,-119.316385,"Certain",2018-01-28,1,2018
"22",50779,"Eschrichtius robustus","Gray Whale",3,34.134649,-119.44239,"Certain",2018-01-28,1,2018
"23",50851,"Eschrichtius robustus","Gray Whale",4,34.082804,-119.885483,"Certain",2018-02-01,2,2018
"24",50914,"Eschrichtius robustus","Gray Whale",1,34.02486,-119.338702,"Certain",2018-02-04,2,2018
"25",50907,"Eschrichtius robustus","Gray Whale",1,34.194633,-119.25708,"Certain",2018-02-04,2,2018
"26",50909,"Eschrichtius robustus","Gray Whale",4,33.991278,-119.392831,"Certain",2018-02-04,2,2018
"27",50945,"Eschrichtius robustus","Gray Whale",3,34.05436,-119.528711,"Certain",2018-02-07,2,2018
"28",51241,"Eschrichtius robustus","Gray Whale",1,34.379008,-119.690768,"Certain",2018-02-07,2,2018
"29",51240,"Eschrichtius robustus","Gray Whale",3,34.081706,-119.937463,"Certain",2018-02-07,2,2018
"30",50940,"Eschrichtius robustus","Gray Whale",1,33.999241,-119.449151,"Certain",2018-02-07,2,2018
"31",50942,"Eschrichtius robustus","Gray Whale",4,34.001736,-119.498155,"Certain",2018-02-07,2,2018
"32",50976,"Megaptera novaeangliae","Humpback Whale",1,34.342308,-119.588263,"Certain",2018-02-10,2,2018
"33",50978,"Eschrichtius robustus","Gray Whale",2,34.315457,-119.575744,"Certain",2018-02-10,2,2018
"34",50979,"Eschrichtius robustus","Gray Whale",5,34.054095,-119.702605,"Certain",2018-02-10,2,2018
"35",50981,"Megaptera novaeangliae","Humpback Whale",1,34.342308,-119.588263,"Certain",2018-02-10,2,2018
"36",50983,"Eschrichtius robustus","Gray Whale",2,34.315457,-119.575744,"Certain",2018-02-10,2,2018
